room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Private room,3,False,1,0,9,94,1,0.78344053,0.21410364,2.17781,41.39105,Barcelona,weekend,406.73540159,538.2465789,1067.418762
Private room,2,True,0,1,10,100,1,0.83169317,0.53948712,2.174,41.394,Barcelona,weekend,483.0195266120001,529.4317433,1029.269569
Entire home/apt,4,False,0,1,10,89,2,1.3586197,0.61505395,2.174,41.399,Barcelona,weekend,538.915912188,623.8184796,847.8784961
Private room,4,False,0,1,9,92,1,0.21666083,0.20154995,2.17169,41.38565,Barcelona,weekend,418.118556069,692.4855793,1534.744186
Entire home/apt,3,False,0,1,9,91,2,2.3186285,0.54470068,2.18047,41.40648,Barcelona,weekend,388.386436074,481.5899502,580.075583
Private room,2,False,0,1,10,100,1,0.64388919,0.29864386,2.16779,41.39269,Barcelona,weekend,414.041008209,667.8817608,1256.303423
Entire home/apt,4,False,0,1,10,100,1,1.0012565,0.5266118,2.16591,41.39561,Barcelona,weekend,489.985337576,612.4217978,1120.878927
Entire home/apt,6,False,0,1,10,98,2,0.42338666,0.16044651,2.16565,41.3852,Barcelona,weekend,640.344915899,529.4346473,1531.004827
Private room,2,True,1,0,10,95,1,1.3070853,0.55366713,2.16452,41.39816,Barcelona,weekend,405.37621897,550.4565625,996.3855823
Private room,2,False,0,1,10,87,1,0.72749913,0.35448131,2.16142,41.38817,Barcelona,weekend,392.294086143,506.802853,1377.170259
Private room,2,False,1,0,10,87,1,0.46779785,0.13266267,2.17492,41.38916,Barcelona,weekend,473.165452544,646.4666013,1255.477633
Private room,2,True,0,1,10,99,1,0.58640224,0.26307034,2.17648,41.38918,Barcelona,weekend,452.777713098,629.9392572,1236.815417
Private room,2,True,0,1,10,100,1,0.49822706,0.21771497,2.17573,41.3884,Barcelona,weekend,522.096027156,755.5320425999998,1310.111186
Private room,3,True,0,1,10,100,1,0.54990423,0.27941912,2.17643,41.38822,Barcelona,weekend,589.545465148,732.2628935,1336.565732
Private room,2,True,0,1,10,100,1,0.83169335,0.53948891,2.174,41.394,Barcelona,weekend,611.632182869,529.432121,1029.269005
Private room,2,True,0,1,10,100,1,0.83171302,0.53950542,2.174,41.394,Barcelona,weekend,388.556333938,529.4303418,1029.260939
Private room,2,True,0,1,6,80,1,0.83170331,0.53949714,2.174,41.394,Barcelona,weekend,417.269066968,529.4311837,1029.264946
Private room,2,True,0,1,10,100,1,0.8317045,0.53949934,2.174,41.394,Barcelona,weekend,405.546116761,529.4313783,1029.264101
Private room,2,True,0,1,10,100,1,0.83170968,0.53949702,2.174,41.394,Barcelona,weekend,452.777713098,529.4292892,1029.263982
Entire home/apt,4,False,1,0,10,100,1,1.0783365,0.13192584,2.16048,41.39368,Barcelona,weekend,522.096027156,643.4360292,1313.40232
Entire home/apt,3,False,0,0,9,86,1,1.1992238,0.46771523,2.18415,41.38532,Barcelona,weekend,675.8535620289999,615.7063712,1329.037659
Entire home/apt,4,False,1,0,10,95,2,0.5086028,0.23743077,2.17364,41.38346,Barcelona,weekend,560.832732118,850.1096508,1625.149075
Private room,2,False,1,0,10,96,1,0.69111103,0.33183241,2.16477,41.39195,Barcelona,weekend,411.152745105,2589.925072,1348.223563
Entire home/apt,4,False,0,0,9,100,2,1.8084205,0.28390759,2.17145,41.40339,Barcelona,weekend,956.18497901,871.7011106,773.3870527
Entire home/apt,6,False,0,1,9,86,2,1.7819862,0.39903051,2.15042,41.38082,Barcelona,weekend,485.737891852,323.0428966,775.9952055
Entire home/apt,4,True,1,0,10,100,1,2.5116267,0.54565167,2.17535,41.4094,Barcelona,weekend,457.874647996,462.6107391,585.2446204
Entire home/apt,4,True,1,0,10,97,1,1.8028425,0.44140989,2.16944,41.40337,Barcelona,weekend,435.957828066,639.4987912,749.1293851
